,store,sido,gungu,store_address
0,강남역,서울,강남구,서울 강남구 강남대로 98길 11
1,개포1호,서울,강남구,서울 강남구 논현로16길 5
2,개포2호,서울,강남구,서울 강남구 선릉로6길 12개포동
3,논현1호(서울),서울,강남구,서울 강남구 학동로2길 50논현동
4,대치1호,서울,강남구,서울 강남구 선릉로 312
5,대치2호,서울,강남구,서울 강남구 삼성로58길 7대치동
6,도곡,서울,강남구,서울 강남구 논현로38길 30  1층
7,삼성1호,서울,강남구,서울 강남구 봉은사로 451
8,세곡,서울,강남구,서울 강남구 자곡로 101 강남레미안힐즈상가 103호
9,압구정신사,서울,강남구,"서울 강남구 언주로172길 29, 대성빌딩 1층 1호"
10,역삼1호,서울,강남구,서울 강남구 강남대로 66길 16 1층
11,일원1동,서울,강남구,서울 강남구 일원로9길 48일원동
12,일원본동,서울,강남구,"서울 강남구 광평로31길 27, 삼성아파트 상가 104호"
13,청담역,서울,강남구,서울 강남구 학동로 87길 9 진흥아파트상가
14,강일,서울,강동구,서울 강동구 아리수로 419 리슈빌오피스텔
15,고덕1호(서울),서울,강동구,서울 강동구 고덕로61길 116
16,길1호,서울,강동구,서울 강동구 천중로 201
17,길동역,서울,강동구,서울 강동구 양재대로 111길 18
18,둔촌1호,서울,강동구,"서울 강동구 진황도로 168둔촌동,예창빌딩"
19,명일1호,서울,강동구,서울 강동구 구천면로 438
20,상일,서울,강동구,"서울 강동구 상일로15길 6고덕동,재도빌딩"
21,상일2호,서울,강동구,"서울 강동구 구천면로 640, 고덕 롯데캐슬 베네루체 상가A동 114호"
22,성내,서울,강동구,"서울 강동구 풍성로 143, 1층"
23,암사1호,서울,강동구,서울 강동구 올림픽로 807
24,암사2호,서울,강동구,"서울 강동구 고덕로 109,"
25,천호1호,서울,강동구,서울 강동구 천호대로 1077
26,덕성여대,서울,강북구,서울 강북구 삼양로 531
27,미아1호,서울,강북구,서울 삼양로 24길 19. 현대성우아파트 상가 104호
28,미아사거리,서울,강북구,서울 강북구 도봉로8길 35
29,미아역,서울,강북구,서울 강북구 도봉로 142
30,번동,서울,강북구,서울 강북구 한천로 109길 59 일신빌딩 1층
31,수유1호,서울,강북구,서울 강북구 삼각산로 119
32,수유2호,서울,강북구,서울 강북구 수유로 12
33,수유역점,서울,강북구,서울 강북구 한천로 1016
34,가양,서울,강서구,서울 강서구 양천로 482 삼부르네상스 109호
35,강서구청,서울,강서구,서울 강서구 화곡로 277
36,까치산역,서울,강서구,"서울 강서구 곰달래로 125, 라인씨티 1층"
